MEDHHINC_2018,Median_Household_Income_2018,anycondition_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence
48809.0,48809.0,47.3,9.2,12.4,3.3
43328.0,43328.0,51.9,10.9,14.0,3.6
38572.0,38572.0,55.2,13.9,15.6,3.7
51487.0,51487.0,44.4,10.5,13.2,3.4
54658.0,54658.0,47.2,8.1,11.6,3.4
39545.0,39545.0,52.2,11.4,15.6,3.9
56694.0,56694.0,37.9,8.5,11.0,3.1
63631.0,63631.0,45.3,6.4,10.7,2.8
42862.0,42862.0,49.8,11.9,15.2,4.2
48814.0,48814.0,50.1,8.8,15.1,3.8
43533.0,43533.0,55.4,9.6,16.7,3.9
51058.0,51058.0,47.5,7.5,12.1,3.7
40285.0,40285.0,53.2,9.8,16.6,3.8
39522.0,39522.0,47.2,10.7,13.0,3.9
47412.0,47412.0,47.7,8.4,13.8,4.0
53811.0,53811.0,47.1,8.3,12.0,3.4
45408.0,45408.0,44.0,7.7,11.8,3.1
63681.0,63681.0,42.7,8.3,12.2,3.2
48589.0,48589.0,51.5,11.5,14.0,3.9
46365.0,46365.0,51.6,9.7,14.5,4.2
45510.0,45510.0,49.4,9.9,12.4,3.5
87377.0,87377.0,39.4,4.8,8.1,2.4
41700.0,41700.0,44.6,6.9,10.9,3.2
62657.0,62657.0,45.9,7.9,12.1,3.3
57193.0,57193.0,50.5,9.9,12.9,3.1
32597.0,32597.0,57.7,12.6,19.9,5.1
47380.0,47380.0,51.5,10.0,12.6,3.4
81061.0,81061.0,38.6,6.6,9.6,2.8
46832.0,46832.0,48.9,11.0,13.0,3.5
48370.0,48370.0,47.6,10.5,12.6,3.5
49220.0,49220.0,47.8,9.8,12.3,3.3
44290.0,44290.0,56.6,15.2,18.8,4.5
38709.0,38709.0,49.6,11.4,14.6,3.8
58465.0,58465.0,47.1,6.8,10.5,2.9
40395.0,40395.0,41.4,8.2,9.6,2.7
30570.0,30570.0,50.4,9.3,16.9,4.6
52611.0,52611.0,42.6,5.8,11.0,2.8
51812.0,51812.0,46.1,7.5,12.4,3.0
42282.0,42282.0,39.9,8.6,10.2,3.0
75663.0,75663.0,43.5,6.9,10.6,2.7
59323.0,59323.0,47.3,9.3,11.4,3.2
56166.0,56166.0,48.1,10.8,12.9,3.2
34297.0,34297.0,55.9,11.5,18.4,4.3
60044.0,60044.0,45.5,7.8,11.6,3.0
32715.0,32715.0,52.7,14.1,16.0,4.3
36132.0,36132.0,58.5,12.3,19.3,4.7
67220.0,67220.0,47.8,8.7,13.1,3.4
43696.0,43696.0,49.3,11.7,14.4,3.8
72451.0,72451.0,45.1,6.7,11.1,2.8
73619.0,73619.0,34.6,4.5,8.6,2.4
46706.0,46706.0,52.2,9.7,13.0,3.4
48010.0,48010.0,53.3,10.0,14.9,3.6
45434.0,45434.0,53.6,11.8,14.9,3.7
68106.0,68106.0,38.6,5.4,9.7,2.6
84213.0,84213.0,28.4,5.9,9.2,2.9
26449.0,26449.0,59.7,12.4,21.9,5.2
87336.0,87336.0,37.0,6.1,9.5,2.6
61987.0,61987.0,45.7,6.2,12.7,3.0
40077.0,40077.0,47.1,9.2,14.4,3.7
63772.0,63772.0,40.0,5.6,9.2,2.6
60450.0,60450.0,49.5,9.9,13.8,3.7
49200.0,49200.0,42.4,8.1,11.4,3.4
45817.0,45817.0,48.8,11.1,13.1,3.7
56800.0,56800.0,48.1,8.5,12.1,3.3
37002.0,37002.0,56.1,11.2,18.2,4.4
57709.0,57709.0,47.3,9.0,11.6,3.0
40866.0,40866.0,48.8,11.4,14.3,3.9
48763.0,48763.0,42.9,7.4,13.1,3.5
97525.0,97525.0,32.8,5.0,8.1,2.5
44183.0,44183.0,58.4,14.3,16.3,3.7
42720.0,42720.0,54.0,11.2,15.1,3.7
55174.0,55174.0,47.0,8.6,11.1,3.2
88709.0,88709.0,33.6,5.9,9.0,2.7
53360.0,53360.0,50.1,8.6,12.9,3.3
47284.0,47284.0,55.8,13.1,15.5,3.6
66502.0,66502.0,45.3,9.6,12.2,3.0
25973.0,25973.0,60.1,11.3,18.1,4.6
68483.0,68483.0,38.2,7.8,11.3,3.3
36032.0,36032.0,53.4,13.7,16.9,4.5
89964.0,89964.0,47.7,6.9,10.8,2.6
48018.0,48018.0,50.1,9.5,14.4,3.7
48448.0,48448.0,46.9,9.3,12.7,3.8
42153.0,42153.0,54.8,9.9,19.8,4.7
42624.0,42624.0,49.5,9.3,13.7,3.6
41873.0,41873.0,48.0,10.4,12.4,3.1
61342.0,61342.0,46.1,7.7,11.3,3.2
51258.0,51258.0,49.9,9.9,11.9,3.4
50637.0,50637.0,43.8,7.1,10.0,3.0
37834.0,37834.0,58.3,12.2,18.0,4.1
63790.0,63790.0,45.1,7.6,11.9,3.1
41295.0,41295.0,49.0,8.6,13.7,3.9
40691.0,40691.0,57.5,13.9,15.6,3.7
74351.0,74351.0,37.4,7.5,9.8,2.7
75629.0,75629.0,36.0,5.4,8.9,2.6
53785.0,53785.0,48.7,7.2,13.7,3.2
49265.0,49265.0,46.4,10.1,13.9,4.0
28298.0,28298.0,58.2,13.4,23.0,5.6
33393.0,33393.0,54.9,11.4,19.3,4.6
75421.0,75421.0,37.7,5.7,8.0,2.5
48409.0,48409.0,43.2,8.6,12.2,3.1
54292.0,54292.0,40.9,6.0,11.1,2.8
52642.0,52642.0,48.5,8.5,11.6,3.3
53377.0,53377.0,47.1,10.1,14.9,3.9
51939.0,51939.0,45.8,7.3,10.8,3.2
46049.0,46049.0,54.6,9.3,15.5,3.7
51656.0,51656.0,44.7,6.6,11.7,3.1
68724.0,68724.0,45.6,7.8,11.5,3.0
72111.0,72111.0,44.6,7.7,11.7,3.0
34024.0,34024.0,59.6,11.3,18.4,4.9
51280.0,51280.0,47.6,9.2,11.3,3.3
66056.0,66056.0,48.7,10.1,13.0,3.0
53419.0,53419.0,37.7,7.4,10.5,3.0
51241.0,51241.0,48.4,11.5,15.9,4.0
60627.0,60627.0,41.2,7.2,11.1,2.9
