TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,White-alone pop,POP_ESTIMATE_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,POVALL_2018,PCTPOVALL_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
142067.0,14487,16113,16149,16854,18084,20986,133931,142067,9.3,12.7,-3.4,11968,48896,17574,13.0,48809.0,66090,62670,3420,5.2,48809,320.5,273.3,100.8,88.2,8.7,7.2,77.68334036,62.88545716,2.207480327,115.0995773,79.91300642,296.9227433,16,144287,38502,26.7,1401,38,107,114062,47.3,35.6,9.2,12.4,3.3,26.816132529018,1,31.002977468377598,8136,14.85
82029.0,8453,9788,9468,8762,10889,12464,75240,82029,9.6,11.8,-2.2,11913,19103,12830,15.9,43328.0,36595,35193,1402,3.8,43328,255.0,223.5,86.2,78.1,7.1,6.2,37.26357407,33.51114717,0.884782764,39.93372205,31.78898072,118.3317948,12,81805,20816,25.4,701,33,27,65539,51.9,37.1,10.9,14.0,3.6,27.069694864011506,2,33.81730851284302,6789,21.35
24842.0,2778,2764,2616,2669,3061,3495,24219,24842,10.1,14.0,-3.9,2453,9108,4659,19.0,38572.0,9309,8709,600,6.4,38572,263.4,231.6,100.1,89.4,10.5,9.2,12.95866061,9.189368668,0.770366236,13.42638296,17.07186604,38.5595814,0,25496,7413,29.1,733,48,67,19729,55.2,39.1,13.9,15.6,3.7,30.025762821028902,1,27.827872152000644,623,25.1
31280.0,3353,4207,3846,3290,3589,4245,30227,31280,10.9,12.9,-1.9,2539,9222,3631,12.4,51487.0,14901,14381,520,3.5,51487,230.8,212.0,80.3,74.4,6.5,6.1,16.14043771,3.94980303,0.617010651,12.29814411,15.5327757,40.69465702,0,31848,8461,26.6,532,14,169,24768,44.4,31.9,10.5,13.2,3.4,27.97314578005115,1,31.812659846547316,1053,16.55
6993.0,842,855,664,746,757,957,6783,6993,12.2,12.0,0.1,375,1790,686,10.0,54658.0,3704,3635,69,1.9,54658,218.2,193.1,84.8,77.9,6.9,6.5,4.258532482,1.889973053,0.261449965,2.831636062,4.788079445,9.055474638,0,6985,2030,29.1,244,15,71,5426,47.2,37.0,8.1,11.6,3.4,31.05963105963106,1,40.35464035464035,210,16.0
48305.0,4801,5225,6332,6595,6435,6280,33425,48305,10.5,12.7,-2.2,6825,13242,9492,23.5,39545.0,17542,16846,696,4.0,39545,265.2,240.7,86.8,80.1,6.9,6.0,28.03139536,13.81838932,0.492136957,26.29644249,18.7783134,66.0030501,7,48571,12035,24.8,35,9,63,39344,52.2,37.4,11.4,15.6,3.9,26.160852913777045,2,31.67995031570231,14880,33.5
64265.0,6143,6789,7333,7187,7439,10069,61469,64265,8.6,10.5,-1.8,3989,15212,6859,10.8,56694.0,31709,30236,1473,4.6,56694,355.6,304.1,112.9,94.8,10.2,7.4,41.47156112,29.24483332,0.545894786,68.13819257,21.30962779,160.8350735,24,64701,17940,27.7,438,32,113,52522,37.9,29.0,8.5,11.0,3.1,30.039679452267954,1,44.48611219170622,2796,14.85
35438.0,6384,6240,4316,5380,4103,3411,31180,35438,15.4,6.5,8.9,2896,7345,4031,11.5,63631.0,13595,12954,641,4.7,63631,216.2,199.9,65.3,62.2,5.8,5.4,13.5312386,8.946088156,0.605374386,10.88552832,11.7935899,41.43451356,4,36343,4899,13.5,1670,44,47,23684,45.3,36.2,6.4,10.7,2.8,15.813533495118234,1,30.04684237259439,4258,12.85
17673.0,1580,1818,1586,1569,2235,2795,16316,17673,8.6,13.7,-5.0,2794,4725,2683,15.5,42862.0,7438,7151,287,3.9,42862,263.2,231.8,90.3,81.7,7.3,6.3,9.29122103,4.361354758,0.199186516,8.814003335,7.737151233,24.38374934,0,17958,5697,31.7,1715,46,141,14595,49.8,37.2,11.9,15.2,4.2,34.4593447631981,2,34.0689186895264,1357,21.799999999999997
12166.0,1331,1336,1525,1702,1345,1608,11198,12166,10.7,9.3,1.4,1828,3028,2067,18.7,48814.0,5233,5036,197,3.8,48814,224.8,199.9,72.9,66.5,6.2,5.4,4.19636438,2.476702735,0.221686724,4.603284562,4.074288325,14.36852119,0,12043,3164,26.3,1589,43,297,9746,50.1,37.5,8.8,15.1,3.8,27.280946901200064,1,32.311359526549396,968,24.75
